actual_rpps_number,old_rpps_number,rpps_cbw_uuid
200413000001841,200413000001001,61e55d21-bbc3-4d94-bb2b-92525302c004
200413000001587,200413000001016,30ff58e3-ee16-46e1-8328-892357acc30c
200413000001383,200413000001035,121c2cdb-d38a-4909-b0a3-aa52a0bfd13f
200413000001559,200413000001036,04a8c5d7-4d42-49dc-8007-538bf7ad904a
200413000001815,200413000001020,0e01dd53-2c6e-489e-bc52-e079b5db1238
200413000001362,200413000001019,3f3543ad-9f57-4f57-b33a-6c76a70e391a
200413000001551,200413000001033,2f351994-b829-43b1-adbb-225e7e56ae9a
200413000001822,200413000000873,787803a2-ae23-434d-9a78-add9b79a6a2a
200413000001654,200413000000680,430de5f3-9fa7-4c05-9853-38da35f7c93c
200413000001818,200413000000868,e815b0d7-5950-4f1a-9a74-cca4de415a29
200413000001723,200413000000759,13a343e3-cbf1-4bc5-95d6-43536f2a1c38
200413000001445,200413000000446,fc9dd804-65d2-42c3-bbb5-effafcadb214
200413000001167,200413000000143,d7d0a6c3-8f8b-4591-ac65-843a468bdf2a
200413000001381,200413000000375,02453b5d-5269-4aaf-a119-442769d91178
200413000001307,200413000000296,29ac354c-8a87-4335-8a8d-f0cd0bf7a236
200413000001604,200413000000625,ea920246-543e-4935-b44b-fd42bd1209ca
200413000001311,200413000000301,3bca57a2-a458-4e25-a1c6-e22054539773
200413000001802,200413000000849,663e498e-ffbf-45c9-b58e-6ee4bcbfade3
200413000001927,200413000000984,ad2bb66f-4781-4cc5-a519-1752c1cc6557
200413000001773,200413000000817,323a2f77-f22c-4a63-a514-dbf28885debd
200413000001246,200413000000227,e3b5748a-72cd-427c-8f3e-35a67f10f925
200413000001121,200413000000090,edcff72c-6b68-421a-aa18-0eb187006006
200413000001225,200413000000202,2497cf93-1a2b-4b46-83c0-9b40b7174596
200413000001295,200413000000283,b647376a-15c1-4560-bac4-046ab1343ac6
200413000001385,200413000000378,439bc585-f784-4c59-b58b-7c5a7adad4af
200413000001661,200413000000687,ab9a3abd-4008-4311-89ee-72514e1c4d84
200413000001653,200413000000679,5a00cad0-c034-45c3-935f-05aa71981eba
200413000001372,200413000000364,6a90665c-187b-465e-8612-13539afd3629
200413000001883,200413000000937,aef8b6d5-e7a9-4a42-b956-c2823731211a
200413000001332,200413000000322,de21521c-8653-4a92-9f4b-ceb3ead1d3bb
200413000001321,200413000000312,d50fbbc2-254b-440d-ae15-1265f1602c97
200413000001063,200413000000028,94e51546-c844-449a-bd7b-107fa2988540
